date,Oil,Gold
30-12-2019,61.68,1514.8
31-12-2019,61.06,1514.8
01-01-2020,61.18,1527.1
02-01-2020,63.05,1548.8
03-01-2020,63.27,1573.1
04-01-2020,62.7,1567.9
05-01-2020,59.61,1572
06-01-2020,59.56,1550.8
07-01-2020,59.04,1553.6
08-01-2020,58.08,1549.9
09-01-2020,58.23,1545.1
10-01-2020,57.81,1549
11-01-2020,58.52,1554.6
12-01-2020,58.54,1557.6
13-01-2020,58.34,1551.3
14-01-2020,56.74,1556.9
15-01-2020,55.59,1562.9
16-01-2020,54.19,1564.3
17-01-2020,53.14,1580.1
18-01-2020,53.48,1574
19-01-2020,53.33,1573.5
20-01-2020,52.14,1578.3
21-01-2020,51.56,1584.2
22-01-2020,50.11,1574.8
23-01-2020,49.61,1558.4
24-01-2020,50.75,1553.3
25-01-2020,50.95,1563.3
26-01-2020,50.32,1572.7
27-01-2020,49.57,1573.2
28-01-2020,49.94,1570.5
29-01-2020,51.17,1563.7
30-01-2020,51.42,1575.1
31-01-2020,52.05,1581.4
01-02-2020,52.05,1589.9
02-02-2020,53.29,1604.2
03-02-2020,53.78,1619
04-02-2020,53.38,1643.3
05-02-2020,51.43,1671.7
06-02-2020,49.9,1650.3
07-02-2020,48.73,1634.9
08-02-2020,47.09,1652
09-02-2020,44.76,1609.9
10-02-2020,46.75,1599.7
11-02-2020,47.18,1615.5
12-02-2020,46.78,1641.9
13-02-2020,45.9,1659.6
14-02-2020,41.28,1683.7
15-02-2020,31.13,1672.5
16-02-2020,34.36,1655.7
17-02-2020,32.98,1653.8
18-02-2020,31.5,1570.7
19-02-2020,31.73,1562.8
20-02-2020,28.7,1487.7
21-02-2020,26.95,1536.2
22-02-2020,20.37,1498.2
23-02-2020,25.22,1474.3
24-02-2020,22.43,1494.4
25-02-2020,23.36,1525.4
26-02-2020,24.01,1605.8
27-02-2020,24.49,1605.5
28-02-2020,22.6,1634.8
29-02-2020,21.51,1617.3
01-03-2020,20.09,1618.3
02-03-2020,20.48,1609
03-03-2020,20.31,1576.6
04-03-2020,25.32,1616.8
05-03-2020,28.34,1613.1
06-03-2020,26.08,1648.3
07-03-2020,23.63,1649.3
08-03-2020,25.09,1647.8
09-03-2020,22.76,1680.7
10-03-2020,22.41,1680.7
11-03-2020,20.11,1741.9
12-03-2020,19.87,1718.7
13-03-2020,19.87,1729.5
14-03-2020,18.27,1692.6
15-03-2020,-37.63,1686.2
16-03-2020,10.01,1682.1
17-03-2020,13.78,1710.6
18-03-2020,16.5,1736.3
19-03-2020,16.94,1715.9
20-03-2020,12.78,1715
21-03-2020,12.34,1691.6
22-03-2020,15.06,1703.4
23-03-2020,18.84,1702.8
24-03-2020,19.78,1686.3
25-03-2020,20.39,1709.1
26-03-2020,24.56,1699.6
27-03-2020,23.99,1691.5
28-03-2020,23.55,1704.1
29-03-2020,24.74,1704.1
30-03-2020,24.14,1702.8
31-03-2020,25.78,1702.4
01-04-2020,25.29,1708.4
02-04-2020,27.56,1731.6
03-04-2020,29.43,1735.4
04-04-2020,31.82,1734.7
05-04-2020,32.5,1738
06-04-2020,33.49,1748.3
07-04-2020,33.92,1724.9
08-04-2020,33.25,1733.6
09-04-2020,34.35,1720.3
10-04-2020,32.81,1694.6
11-04-2020,33.71,1717.4
12-04-2020,35.49,1728.7
13-04-2020,35.44,1730.6
14-04-2020,36.81,1742.2
15-04-2020,37.29,1705.4
16-04-2020,37.41,1700.1
17-04-2020,39.55,1683.5
18-04-2020,38.19,1690.4
19-04-2020,38.94,1713.5
20-04-2020,39.6,1722.1
21-04-2020,36.34,1738.3
22-04-2020,36.26,1733.5
23-04-2020,37.12,1710.5
24-04-2020,38.38,1719.9
25-04-2020,37.96,1724.4
26-04-2020,38.84,1719.5
27-04-2020,39.75,1734.8
28-04-2020,40.46,1761.9
29-04-2020,40.37,1768.9
30-04-2020,38.01,1766.1
01-05-2020,38.72,1756.6
02-05-2020,38.49,1747.6
03-05-2020,39.7,1771.6
04-05-2020,39.27,1768.1
05-05-2020,39.82,1771.1
06-05-2020,40.65,1777.5
07-05-2020,40.63,1787.9
08-05-2020,40.62,1789.6
09-05-2020,40.9,1811.1
10-05-2020,39.62,1812.1
11-05-2020,40.55,1803.1
12-05-2020,40.1,1807.5
13-05-2020,40.29,1801.9
14-05-2020,41.2,1804.6
15-05-2020,40.75,1807.7
16-05-2020,40.59,1807.4
17-05-2020,40.81,1815.7
18-05-2020,41.96,1842.6
19-05-2020,41.9,1852.4
20-05-2020,41.07,1878.3
21-05-2020,41.29,1902.1
22-05-2020,41.6,1936.7
23-05-2020,41.04,1940.9
24-05-2020,41.27,1950.9
25-05-2020,39.92,1957.7
26-05-2020,40.27,1964.9
27-05-2020,41.01,1958.6
28-05-2020,41.7,1977.9
29-05-2020,42.19,2048.2
30-05-2020,41.95,2067.2
31-05-2020,41.22,2031.2
01-06-2020,41.94,2044.5
02-06-2020,41.61,1939.7
03-06-2020,42.67,1931.9
04-06-2020,42.24,1944.3
05-06-2020,42.01,1944.8
06-06-2020,42.89,1972.9
07-06-2020,42.89,2008.8
08-06-2020,42.93,1981
09-06-2020,42.58,1927.2
10-06-2020,42.34,1924.4
11-06-2020,42.62,1944
12-06-2020,43.35,1911.2
13-06-2020,43.39,1933
14-06-2020,43.04,1923.9
15-06-2020,42.97,1957.4
16-06-2020,42.61,1957.4
17-06-2020,42.76,1972.4
18-06-2020,41.51,1947.1
19-06-2020,41.37,1940.5
20-06-2020,39.77,1926.3
21-06-2020,36.76,1911
22-06-2020,38.05,1947.2
23-06-2020,37.3,1966.3
24-06-2020,37.33,1947.4
25-06-2020,37.26,1958.7
26-06-2020,38.28,1949.4
27-06-2020,40.16,1961.8
28-06-2020,40.97,1936.3
29-06-2020,41.11,1950.9
30-06-2020,39.31,1909.4
01-07-2020,39.6,1906
02-07-2020,39.93,1873.4
03-07-2020,40.31,1861.8
04-07-2020,40.25,1859.7
05-07-2020,40.6,1864.3
06-07-2020,39.29,1884
07-07-2020,40.22,1886.9
08-07-2020,38.72,1902
09-07-2020,37.05,1903.1
10-07-2020,39.22,1909.6
11-07-2020,40.67,1913.4
12-07-2020,39.95,1884.5
13-07-2020,41.19,1887.5
14-07-2020,40.6,1923.3
15-07-2020,39.43,1925.5
16-07-2020,40.2,1891.3
17-07-2020,41.04,1910.1
18-07-2020,40.96,1891.9
19-07-2020,40.88,1905.1
20-07-2020,40.83,1905.6
21-07-2020,41.46,1898.4
22-07-2020,40.03,1924.2
23-07-2020,40.64,1901
24-07-2020,39.85,1903.7
25-07-2020,38.56,1898.5
26-07-2020,39.57,1905.7
27-07-2020,37.39,1870
28-07-2020,36.17,1870.3
29-07-2020,35.79,1881.9
30-07-2020,36.81,1889.9
31-07-2020,37.66,1908.3
01-08-2020,39.15,1900.2
02-08-2020,38.79,1938.5
03-08-2020,37.14,1940.8
04-08-2020,40.29,1867.3
05-08-2020,41.36,1878.7
06-08-2020,41.45,1861
07-08-2020,41.12,1874.9
08-08-2020,40.13,1890.9
09-08-2020,41.34,1885.6
10-08-2020,41.43,1889.1
11-08-2020,41.82,1876.1
12-08-2020,41.74,1857.4
13-08-2020,42.15,1875.7
14-08-2020,43.06,1840.2
15-08-2020,44.91,1799.6
16-08-2020,45.71,1810.2
17-08-2020,45.34,1762.6
18-08-2020,44.55,1810.8
19-08-2020,45.28,1822.6
20-08-2020,45.64,1832.4
21-08-2020,46.26,1843
22-08-2020,45.76,1860
23-08-2020,45.6,1868.2
24-08-2020,45.52,1841.8
25-08-2020,46.78,1844.4
26-08-2020,46.57,1842
27-08-2020,46.99,1831.2
28-08-2020,47.62,1850.7
29-08-2020,47.82,1852
30-08-2020,48.36,1890.8
31-08-2020,49.1,1879.8
01-09-2020,47.74,1880
02-09-2020,47.02,1877.1
03-09-2020,48.12,1875
04-09-2020,48.23,1875
05-09-2020,47.62,1875
06-09-2020,48,1874.3
07-09-2020,48.4,1887.6
08-09-2020,48.52,1887.6
09-09-2020,47.62,1943.2
10-09-2020,49.93,1940.4
11-09-2020,50.63,1932
12-09-2020,50.83,1920.1
13-09-2020,52.24,1862.9
14-09-2020,52.25,1847.3
15-09-2020,53.21,1841.3
16-09-2020,52.91,1858.9
17-09-2020,53.57,1841.8
18-09-2020,52.36,1839
19-09-2020,52.98,1834.7
20-09-2020,53.24,1856.6
21-09-2020,53.13,1862.1
22-09-2020,52.27,1852.7
23-09-2020,52.77,1856.9
24-09-2020,52.61,1856.6
25-09-2020,52.85,1843
26-09-2020,52.34,1853.7
27-09-2020,52.2,1863.8
28-09-2020,53.55,1863
29-09-2020,54.76,1833.1
30-09-2020,55.69,1835.5
01-10-2020,56.23,1785.9
02-10-2020,56.85,1803
03-10-2020,57.97,1835.3
04-10-2020,58.36,1839.6
05-10-2020,58.68,1842.7
06-10-2020,58.24,1840.1
07-10-2020,59.47,1816.4
08-10-2020,60.05,1794.3
09-10-2020,61.14,1780.7
10-10-2020,60.52,1773.2
11-10-2020,59.24,1786.2
12-10-2020,61.49,1807.5
13-10-2020,61.67,1799.7
14-10-2020,63.22,1788
15-10-2020,63.53,1779.7
16-10-2020,61.5,1742.9
17-10-2020,60.64,1734.2
18-10-2020,59.75,1723.9
